phase,cell,cell_type,model,boot_mean,boot_median,boot_ci_lo,boot_ci_hi,n_valid_iters,n_skipped_iters,n_recordings,n_mice,note
D,fast_gamma_theta,ratio,svm_rbf,0.4601651849821462,0.46794871794871795,0.20317460317460317,0.6798701298701298,985,15,76,18,
D,fast_gamma_theta,ratio,random_forest,0.48759721955946106,0.48713235294117646,0.28471528471528473,0.6666666666666666,985,15,76,18,
D,low_gamma_beta,ratio,svm_rbf,0.5714135320991295,0.5681818181818181,0.3672463768115942,0.7621280680104208,969,31,76,18,
D,low_gamma_beta,ratio,random_forest,0.5589754473379162,0.5584415584415584,0.3920745920745921,0.7297152194211016,969,31,76,18,
D,high_gamma_beta,ratio,svm_rbf,0.4627003083717643,0.47101449275362317,0.22725490196078432,0.6591908091908092,985,15,76,18,
D,high_gamma_beta,ratio,random_forest,0.5197692756826081,0.5208333333333334,0.33,0.6918233082706766,985,15,76,18,
D,fast_gamma_beta,ratio,svm_rbf,0.46521481255312774,0.47115384615384615,0.24337606837606837,0.65625,985,15,76,18,
D,fast_gamma_beta,ratio,random_forest,0.5082622992641943,0.5117845117845118,0.3161904761904762,0.6730882352941175,985,15,76,18,
D,high_gamma_low_gamma,ratio,svm_rbf,0.45432127674060213,0.45614035087719296,0.2222222222222222,0.6647916666666664,979,21,76,18,
D,high_gamma_low_gamma,ratio,random_forest,0.4142036183596812,0.41628959276018096,0.21953044375644995,0.6077976190476191,979,21,76,18,
D,fast_gamma_low_gamma,ratio,svm_rbf,0.4358147646381695,0.43939393939393934,0.1875,0.6516436688311689,982,18,76,18,
D,fast_gamma_low_gamma,ratio,random_forest,0.47250544021711294,0.46981089086352246,0.28125,0.6777403846153848,982,18,76,18,
D,fast_gamma_high_gamma,ratio,svm_rbf,0.4820413389057141,0.4861385595081248,0.2513020833333333,0.7079108391608392,976,24,76,18,
D,fast_gamma_high_gamma,ratio,random_forest,0.4832537420198426,0.48333333333333334,0.275297619047619,0.6780545112781955,976,24,76,18,
